model,mse,rmse,mae,r_squared,mape
Simple_RNN,3.356342112944846,1.8320322357821235,1.4348889536480915,0.9224358707305531,1.925765584202757
GRU,2.9998254495396037,1.7320004184582647,1.3497527826268778,0.9306748712962056,1.812806115722056
LSTM,4.879779204705131,2.209022228205305,1.7683094149609746,0.887229664824598,2.3696573479452
Bi_LSTM,5.478856459459035,2.3406957212459365,1.7975178316149414,0.8733851567063993,2.4257525744509834
